[DEBUG] 2018-05-02 04:24:39.225 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@6512bdb8
[DEBUG] 2018-05-02 04:24:39.255 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@6c0e1a0d
[DEBUG] 2018-05-02 04:24:39.288 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@992a4d3
[DEBUG] 2018-05-02 04:24:39.344 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@42e6d599
[DEBUG] 2018-05-02 04:24:39.345 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@42e6d599
[DEBUG] 2018-05-02 04:24:39.347 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@42e6d599
[DEBUG] 2018-05-02 04:24:39.386 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@11d7ec6b
[DEBUG] 2018-05-02 04:24:39.387 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@11d7ec6b
[DEBUG] 2018-05-02 04:24:39.389 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@11d7ec6b
[DEBUG] 2018-05-02 04:24:39.423 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@48a45dc7
[DEBUG] 2018-05-02 04:24:39.464 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@12d235a4
[DEBUG] 2018-05-02 04:24:39.707 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@726a6ba4
[DEBUG] 2018-05-02 04:24:39.711 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@726a6ba4
